Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Review Quantity,Check,Tax 5%, Total ,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,R1C1,Yangon,Customer,Health and beauty,67.99,7,7,,23.8%, $475.93 ,1/5/2019,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,"Electronic 
accessories",15.28,5,5,,3.8%, $76.40 ,3/8/2019,10:29:00 AM,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,A,Yangon,Normal,Home and lifestyle,46.33,7,7,,16.2%, $324.31 ,3/3/2019,1:23:00 PM,Credit card,324.31,,16.2155,7.4
123-19-1176,A,Yangon,Customer,Health and beauty,58.22,8,8,,23.3%, $465.76 ,1/27/2019,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,A,Yangon,Normal,Sports and travel,86.31,7,7,,30.2%, $604.17 ,2/8/2019,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,Electronic accessories,85.39,7,7,,29.9%, $597.73 ,3/25/2019,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,Customer,Electronic accessories,68.84,6,6,,20.7%, $413.04 ,2/25/2019,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,10,,36.8%, $735.60 ,2/24/2019,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8
665-32-9167,A,Yangon,Customer,Health and beauty,36.26,2,2,,3.6%, $72.52 ,1/10/2019,5:15:00 PM,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,B,Mandalay,Customer,Food and beverages,54.84,3,3,,8.2%, $164.52 ,2/20/2019,1:27:00 PM,Credit card,164.52,,8.226,5.9
351-62-0822,B,Mandalay,Customer,Fashion accessories,14.48,4,4,,2.9%, $57.92 ,2/6/2019,6:07:00 PM,Ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,B,Mandalay,Customer,Electronic accessories,25.51,4,4,,5.1%, $102.04 ,3/9/2019,5:03:00 PM,Cash,102.04,4.761904762,5.102,6.8
365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,5,,11.7%, $234.75 ,2/12/2019,10:25:00 AM,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,A,Yangon,Normal,Food and beverages,43.19,10,10,,21.6%, $431.90 ,2/7/2019,4:48:00 PM,Ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,10,,35.7%, $713.80 ,3/29/2019,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,B,Mandalay,Customer,Sports and travel,93.72,6,6,,28.1%, $562.32 ,1/15/2019,4:19:00 PM,Cash,562.32,4.761904762,28.116,4.5
656-95-9349,A,Yangon,Customer,Health and beauty,68.93,7,7,,24.1%, $482.51 ,3/11/2019,11:03:00 AM,Credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,A,Yangon,Normal,Sports and travel,72.61,6,6,,21.8%, $435.66 ,1/1/2019,10:39:00 AM,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,A,Yangon,Normal,Food and beverages,54.67,3,3,,8.2%, $164.01 ,1/21/2019,6:00:00 PM,Credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,2,,4.0%, $80.60 ,3/11/2019,3:30:00 PM,Ewallet,80.6,4.761904762,4.03,4.4
300-71-4605,C,Naypyitaw,Customer,Electronic accessories,86.04,5,5,,21.5%, $430.20 ,2/25/2019,11:24:00 AM,Ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,B,Mandalay,Normal,Health and beauty,87.98,3,3,,13.2%, $263.94 ,3/5/2019,10:40:00 AM,Ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,B,Mandalay,Normal,Home and lifestyle,33.2,2,2,,3.3%, $66.40 ,3/15/2019,12:20:00 PM,Credit card,66.4,4.761904762,3.32,4.4
636-48-8204,A,Yangon,Normal,Electronic accessories,34.56,5,5,,8.6%, $172.80 ,2/17/2019,11:15:00 AM,Ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,A,Yangon,Customer,Sports and travel,88.63,3,3,,13.3%, $265.89 ,3/2/2019,5:36:00 PM,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,A,Yangon,Customer,Home and lifestyle,52.59,8,8,,21.0%, $420.72 ,3/22/2019,7:20:00 PM,Credit card,420.72,4.761904762,21.036,8.5
649-29-6775,B,Mandalay,Normal,Fashion accessories,33.52,1,1,,1.7%, $33.52 ,2/8/2019,3:31:00 PM,Cash,33.52,4.761904762,1.676,6.7
189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,2,,8.8%, $175.34 ,3/10/2019,12:17:00 PM,Credit card,175.34,4.761904762,8.767,7.7
145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,5,,22.1%, $441.80 ,1/25/2019,7:48:00 PM,Cash,441.8,4.761904762,22.09,9.6
848-62-7243,A,Yangon,Normal,Health and beauty,24.89,9,9,,11.2%, $224.01 ,3/15/2019,3:36:00 PM,Cash,224.01,4.761904762,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Fashion accessories,94.13,5,5,,23.5%, $470.65 ,2/25/2019,7:39:00 PM,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,B,Mandalay,Customer,Sports and travel,78.07,9,9,,35.1%, $702.63 ,1/28/2019,12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Sports and travel,83.78,8,8,,33.5%, $670.24 ,1/10/2019,2:49:00 PM,Cash,670.24,4.761904762,33.512,5.1
595-11-5460,A,Yangon,Normal,Health and beauty,96.58,2,2,,9.7%, $193.16 ,3/15/2019,10:12:00 AM,Credit card,193.16,4.761904762,9.658,5.1
183-56-6882,C,Naypyitaw,Customer,Food and beverages,99.42,4,4,,19.9%, $397.68 ,2/6/2019,10:42:00 AM,Ewallet,397.68,4.761904762,19.884,7.5
232-16-2483,C,Naypyitaw,Customer,Sports and travel,68.12,1,1,,3.4%, $68.12 ,1/7/2019,12:28:00 PM,Ewallet,68.12,4.761904762,3.406,6.8
129-29-8530,A,Yangon,Customer,Sports and travel,62.62,5,5,,15.7%, $313.10 ,3/10/2019,7:15:00 PM,Ewallet,313.1,4.761904762,15.655,7
272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,9,,27.4%, $547.92 ,1/15/2019,5:17:00 PM,Ewallet,547.92,4.761904762,27.396,4.7
333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,8,,22.0%, $439.36 ,3/23/2019,1:24:00 PM,Ewallet,439.36,4.761904762,21.968,7.6
777-82-7220,B,Mandalay,Customer,Home and lifestyle,30.12,8,8,,12.0%, $240.96 ,3/3/2019,1:01:00 PM,Cash,240.96,4.761904762,12.048,7.7
280-35-5823,B,Mandalay,Customer,Home and lifestyle,86.72,1,1,,4.3%, $86.72 ,1/17/2019,6:45:00 PM,Ewallet,86.72,4.761904762,4.336,7.9
554-53-8700,C,Naypyitaw,Customer,Home and lifestyle,56.11,2,2,,5.6%, $112.22 ,2/2/2019,10:11:00 AM,Cash,112.22,4.761904762,5.611,6.3
354-25-5821,B,Mandalay,Customer,Sports and travel,69.12,6,6,,20.7%, $414.72 ,2/8/2019,1:03:00 PM,Cash,414.72,4.761904762,20.736,5.6
228-96-1411,C,Naypyitaw,Customer,Food and beverages,98.7,8,8,,39.5%, $789.60 ,3/4/2019,8:39:00 PM,Cash,789.6,4.761904762,39.48,7.6
617-15-4209,C,Naypyitaw,Customer,Health and beauty,15.37,2,2,,1.5%, $30.74 ,3/16/2019,7:47:00 PM,Cash,30.74,4.761904762,1.537,7.2
